Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,2023 JCI,% of Citable OA,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,JCI Rank,JCI Quartile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,JIF Percentile,JIF Quartile,AIS Quartile,Citable Items,% of Articles in Citable items,Cited Half-Life,Citing Half-Life,Total Articles
"Journal of Public Budgeting Accounting & Financial Management","J PUBLIC BUDGET ACC","EMERALD GROUP PUBLISHING LTD","1096-3367","1945-1814","BUSINESS, FINANCE","ESCI","798","3","1.11","28.78"%," 62/233 ","N/A","N/A","2.4","0.4"," 43/233 ","Q1","81.76","0.001","0.191","N/A","73.6","Q2","N/A","37","89.19"%,"3.4","8.2","33",
"Journal of Multinational Financial Management","J MULTINATL FINANC M","ELSEVIER","1042-444X","1873-1309","BUSINESS, FINANCE","SSCI","1,371","2.9","1.08","12.05"%," 63/233 ","4.3","Q1","2.8","2"," 45/233 ","Q1","80.90","0.001","0.184","0.723","73.2","Q2","Q2","26","100"%,"6.3","10.7","26",
"Journal of Contemporary Accounting & Economics","J CONTEMP ACCOUNT EC","ELSEVIER SCI LTD","1815-5669","1815-5669","BUSINESS, FINANCE","SSCI","1,006","2.9","0.94","6.33"%," 63/233 ","3.5","Q2","2.9","0.9"," 52/233 ","Q1","77.90","0.001","0.125","0.549","73.2","Q2","Q2","30","100"%,"6.3","13.2","30",
"FINANCIAL MANAGEMENT","FINANC MANAGE","WILEY","0046-3892","1755-053X","BUSINESS, FINANCE","SSCI","3,491","2.9","0.77","20"%," 63/233 ","4","Q1","2.7","2.5"," 72/233 ","Q2","69.31","0.003","0.55","1.71","73.2","Q2","Q1","20","95"%,"13.7","9.6","19",
"FEDERAL RESERVE BANK OF ST LOUIS REVIEW","FED RESERVE BANK ST","FEDERAL RESERVE BANK ST LOUIS","0014-9187","2163-4505","BUSINESS, FINANCE","SSCI","524","2.9","0.54","0"%," 63/233 ","1.8","Q3","2.8","0.1"," 113/233 ","Q2","51.72","0.001","0.11","0.689","73.2","Q2","Q2","17","100"%,"13.4","9","17",
"JOURNAL OF INTERNATIONAL MONEY AND FINANCE","J INT MONEY FINANC","ELSEVIER SCI LTD","0261-5606","1873-0639","BUSINESS, FINANCE","SSCI","6,616","2.8","0.84","13.68"%," 67/233 ","3.2","Q2","2.6","0.4"," 65/233 ","Q2","72.32","0.006","1.261","1.046","71.5","Q2","Q1","145","99.31"%,"8.8","9.8","144",
"Accounting Forum","ACCOUNT FORUM","TAYLOR & FRANCIS LTD","0155-9982","1467-6303","BUSINESS, FINANCE","SSCI","1,655","2.8","0.78","41.11"%," 67/233 ","4","Q1","2.5","0.8"," 71/233 ","Q2","69.74","0.001","0.175","0.817","71.5","Q2","Q2","32","100"%,"9.6","9.7","32",
"INTERNATIONAL JOURNAL OF FINANCE & ECONOMICS","INT J FINANC ECON","WILEY","1076-9307","1099-1158","BUSINESS, FINANCE","SSCI","4,127","2.8","0.77","21.64"%," 67/233 ","3.1","Q2","2.6","0.7"," 72/233 ","Q2","69.31","0.005","1.013","0.494","71.5","Q2","Q2","158","99.37"%,"3.4","9.9","157",
"Managerial Auditing Journal","MANAG AUDIT J","EMERALD GROUP PUBLISHING LTD","0268-6902","1758-7735","BUSINESS, FINANCE","SSCI","2,601","2.8","0.77","2.17"%," 67/233 ","3.4","Q2","2.5","0.4"," 72/233 ","Q2","69.31","0.001","0.2","0.455","71.5","Q2","Q3","32","100"%,"9.4","10.8","32",
"International Journal of Islamic and Middle Eastern Finance and Management","INT J ISLAMIC MIDDLE","EMERALD GROUP PUBLISHING LTD","1753-8394","1753-8408","BUSINESS, FINANCE","SSCI","1,403","2.8","0.73","1.13"%," 67/233 ","2.9","Q2","2.5","0.7"," 78/233 ","Q2","66.74","0.001","0.173","0.344","71.5","Q2","Q3","38","97.37"%,"4.7","7.2","37",
"Venture Capital","VENTUR CAP","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1369-1066","1464-5343","BUSINESS, FINANCE","SSCI","896","2.8","0.67","18.31"%," 67/233 ","3.9","Q1","1.9","0.5"," 83/233 ","Q2","64.59","0.001","0.137","0.896","71.5","Q2","Q2","35","91.43"%,"8.3","8.4","32",
"ISRA International Journal of Islamic Finance","ISRA INT J ISLAMIC F","INT SHARIAH RESEARCH ACAD ISLAMIC FINANCE RES MANAGEMENT CTR - ISRA RMC","0128-1976","2289-4365","BUSINESS, FINANCE","ESCI","343","2.8","0.6","96.1"%," 67/233 ","2.6","Q2","2.8","0.1"," 102/233 ","Q2","56.44","0","0.058","0.294","71.5","Q2","Q3","32","100"%,"4.1","7.4","32",
"AUDITING-A JOURNAL OF PRACTICE & THEORY","AUDITING-J PRACT TH","AMER ACCOUNTING ASSOC","0278-0380","1558-7991","BUSINESS, FINANCE","SSCI","3,964","2.7","0.81","0"%," 74/233 ","4","Q1","2.5","0.8"," 68/233 ","Q2","71.03","0.002","0.433","1.385","68.5","Q2","Q1","36","100"%,"11.2","10.9","36",
