Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,2023 JCI,% of Citable OA,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,JCI Rank,JCI Quartile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,JIF Percentile,JIF Quartile,AIS Quartile,Citable Items,% of Articles in Citable items,Cited Half-Life,Citing Half-Life,Total Articles
"International Journal of Managerial and Financial Accounting","INT J MANAG FINANC A","INDERSCIENCE ENTERPRISES LTD","1753-6715","1753-6723","BUSINESS, FINANCE","ESCI","214","1.2","0.37","0"%," 151/233 ","1.4","Q3","1.2","0.8"," 161/233 ","Q3","31.12","0","0.03","0.188","35.4","Q3","Q4","19","100"%,"5.2","11.5","19",
"Review of Financial Economics","REV FINANC ECON","WILEY","1058-3300","1873-5924","BUSINESS, FINANCE","ESCI","722","1.2","0.37","26.67"%," 151/233 ","1.2","Q3","1.2","<0.1"," 161/233 ","Q3","31.12","0","0.079","0.305","35.4","Q3","Q3","15","100"%,"9.7","17.1","15",
"Journal of Real Estate Research","J REAL ESTATE RES","TAYLOR & FRANCIS INC","0896-5803","2691-1175","BUSINESS, FINANCE","SSCI","768","1.2","0.3","7.41"%," 151/233 ","1.2","Q3","0.9","<0.1"," 173/233 ","Q3","25.97","0","0.073","0.342","35.4","Q3","Q3","24","100"%,"15.1","11.8","24",
"Accounting Historians Journal","ACCOUNT HIST J","AMER ACCOUNTING ASSOC","0148-4184","2327-4468","BUSINESS, FINANCE","ESCI","285","1.2","0.29","0"%," 151/233 ","0.8","Q4","1","0.1"," 175/233 ","Q4","25.11","0","0.027","0.234","35.4","Q3","Q3","15","100"%,"17.9","31.2","15",
"FINANCE AND STOCHASTICS","FINANC STOCH","SPRINGER HEIDELBERG","0949-2984","1432-1122","BUSINESS, FINANCE","SSCI","1,162","1.1","0.52","46.25"%," 160/233 ","1.7","Q3","1","0.3"," 120/233 ","Q3","48.71","0.001","0.243","0.914","31.5","Q3","Q2","27","100"%,"12.7","13.7","27",
"Journal of Revenue and Pricing Management","J REVENUE PRICING MA","PALGRAVE MACMILLAN LTD","1476-6930","1477-657X","BUSINESS, FINANCE","ESCI","645","1.1","0.4","14.29"%," 160/233 ","1.2","Q3","0.7","0.2"," 152/233 ","Q3","34.98","0","0.095","0.206","31.5","Q3","Q4","35","91.43"%,"6.4","7.5","32",
"JOURNAL OF PORTFOLIO MANAGEMENT","J PORTFOLIO MANAGE","PAGEANT MEDIA LTD","0095-4918","2168-8656","BUSINESS, FINANCE","SSCI","2,581","1.1","0.37","0"%," 160/233 ","1.5","Q3","0.8","0.3"," 161/233 ","Q3","31.12","0.002","0.406","0.462","31.5","Q3","Q3","117","100"%,"13.7","9.8","117",
"South African Journal of Accounting Research","S AFR J ACCOUNT RES","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1029-1954","2376-3981","BUSINESS, FINANCE","ESCI","132","1.1","0.35","0"%," 160/233 ","1.2","Q3","1.1","0.3"," 167/233 ","Q3","28.54","0","0.023","0.208","31.5","Q3","Q4","7","85.71"%,"5","9.7","6",
"RISK MANAGEMENT AND INSURANCE REVIEW","RISK MANAG INSUR REV","WILEY","1098-1616","1540-6296","BUSINESS, FINANCE","ESCI","268","1.1","0.31","27.27"%," 160/233 ","N/A","N/A","1","<0.1"," 172/233 ","Q3","26.39","0","0.063","N/A","31.5","Q3","N/A","13","100"%,"10.7","9","13",
"Journal of Accounting Literature","J ACCOUNT LIT","EMERALD GROUP PUBLISHING LTD","0737-4607","2452-1469","BUSINESS, FINANCE","ESCI","887","1.1","0.29","8.33"%," 160/233 ","4.2","Q1","0.6","0.3"," 175/233 ","Q4","25.11","0","0.082","1.054","31.5","Q3","Q1","58","79.31"%,"10.4","11","46",
"Journal of Pension Economics & Finance","J PENSION ECON FINAN","CAMBRIDGE UNIV PRESS","1474-7472","1475-3022","BUSINESS, FINANCE","SSCI","862","1","0.51","38.74"%," 166/233 ","1.3","Q3","0.9","0.4"," 124/233 ","Q3","47.00","0.001","0.162","0.536","29.0","Q3","Q2","22","100"%,"9.8","8.6","22",
"ISSUES IN ACCOUNTING EDUCATION","ISS ACCOUNT EDUC","AMER ACCOUNTING ASSOC","0739-3172","1558-7983","BUSINESS, FINANCE","ESCI","736","1","0.29","0"%," 166/233 ","1","Q4","0.5","0.9"," 175/233 ","Q4","25.11","0","0.031","0.133","29.0","Q3","Q4","35","100"%,"11.7","8.1","35",
"Journal of Tax Reform","J TAX REFORM","URAL FEDERAL UNIV","2412-8872","2414-9497","BUSINESS, FINANCE","ESCI","86","1","0.24","95.45"%," 166/233 ","0.8","Q4","0.4","0.4"," 181/233 ","Q4","22.53","0","0.012","0.08","29.0","Q3","Q4","28","92.86"%,"N/A","6.4","26",
"Mathematics and Financial Economics","MATH FINANC ECON","SPRINGER HEIDELBERG","1862-9679","1862-9660","BUSINESS, FINANCE","SSCI","361","0.9","0.45","35.38"%," 169/233 ","1.2","Q3","0.9","0.3"," 141/233 ","Q3","39.70","0.001","0.154","0.636","27.7","Q3","Q2","20","100"%,"6.5","11.7","20",
"Accounting Economics and Law-A Convivium","ACCOUNT ECON LAW","WALTER DE GRUYTER GMBH","2194-6051","2152-2820","BUSINESS, FINANCE","ESCI","253","0.9","0.34","9.18"%," 169/233 ","1.2","Q3","0.6","0.6"," 168/233 ","Q3","28.11","0","0.049","0.257","27.7","Q3","Q3","37","97.3"%,"4.2","8.5","36",
"Journal of International Accounting Research","J INT ACCOUNT RES","AMER ACCOUNTING ASSOC","1542-6297","1558-8025","BUSINESS, FINANCE","ESCI","433","0.9","0.3","0"%," 169/233 ","1.4","Q3","0.9","0.1"," 173/233 ","Q3","25.97","0","0.048","0.29","27.7","Q3","Q3","20","95"%,"8.3","12","19",
"Spanish Journal of Finance and Accounting-Revista Espanola de Financiacion y Contabilidad","SPAN J FINANC ACCOUN","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0210-2412","2332-0753","BUSINESS, FINANCE","SSCI","269","0.9","0.25","1.64"%," 169/233 ","1.1","Q4","0.8","0.1"," 180/233 ","Q4","22.96","0","0.033","0.15","27.7","Q3","Q4","14","100"%,"5.8","11.2","14",
"Journal of Corporate Accounting and Finance","J CORP ACCOUNT FINAN","WILEY PERIODICALS, INC","1044-8136","1097-0053","BUSINESS, FINANCE","ESCI","431","0.9","0.24","10.47"%," 169/233 ","1.2","Q3","0.7","0.1"," 181/233 ","Q4","22.53","0","0.074","0.165","27.7","Q3","Q4","74","98.65"%,"3.9","11.5","73",
"Quarterly Journal of Finance","Q J FINANC","WORLD SCIENTIFIC PUBL CO PTE LTD","2010-1392","2010-1406","BUSINESS, FINANCE","ESCI","355","0.9","0.24","0"%," 169/233 ","1","Q4","0.9","0.1"," 181/233 ","Q4","22.53","0","0.091","0.502","27.7","Q3","Q2","23","100"%,"8.1","14.5","23",
"Behavioral Research in Accounting","BEHAV RES ACCOUNT","AMER ACCOUNTING ASSOC","1050-4753","1558-8009","BUSINESS, FINANCE","ESCI","687","0.8","0.56","0"%," 175/233 ","2.1","Q2","0.6","0.1"," 110/233 ","Q2","53.00","0","0.097","0.836","25.1","Q4","Q2","11","90.91"%,"11.5","15","10",
"European Actuarial Journal","EUR ACTUAR J","SPRINGER HEIDELBERG","2190-9733","2190-9741","BUSINESS, FINANCE","ESCI","272","0.8","0.39","39.8"%," 175/233 ","1.1","Q4","0.7","0.4"," 156/233 ","Q3","33.26","0.001","0.113","0.435","25.1","Q4","Q3","30","96.67"%,"4.6","9.9","29",
"Annals of Finance","ANN FINANC","SPRINGER HEIDELBERG","1614-2446","1614-2454","BUSINESS, FINANCE","ESCI","314","0.8","0.29","32.08"%," 175/233 ","1","Q4","0.8","0.3"," 175/233 ","Q4","25.11","0","0.068","0.345","25.1","Q4","Q3","15","100"%,"10.1","11.4","15",
"Economics and Finance Letters","ECON FINANCE LETT","CONSCIENTIA BEAM","2312-6310","2312-430X","BUSINESS, FINANCE","ESCI","61","0.8","0.23","96.97"%," 175/233 ","N/A","N/A","0.8","<0.1"," 185/233 ","Q4","20.82","0","0.013","N/A","25.1","Q4","N/A","21","100"%,"N/A","8.4","21",
"Asian Journal of Business and Accounting","ASIAN J BUS ACCOUNT","UNIV MALAYA, FAC BUSINESS & ACCOUNTANCY","1985-4064","2180-3137","BUSINESS, FINANCE","ESCI","208","0.8","0.21","0"%," 175/233 ","1","Q4","0.8","0.1"," 187/233 ","Q4","19.96","0","0.021","0.118","25.1","Q4","Q4","20","95"%,"6.3","6.7","19",
"Journal of Computational Finance","J COMPUT FINANC","INCISIVE MEDIA","1460-1559","1755-2850","BUSINESS, FINANCE","SSCI","371","0.8","0.21","0"%," 175/233 ","0.9","Q4","0.8","0.1"," 187/233 ","Q4","19.96","0","0.058","0.359","25.1","Q4","Q3","14","100"%,"16","13.3","14",
"Current Issues in Auditing","CURR ISS AUDIT","AMER ACCOUNTING ASSOC","1936-1270","1936-1270","BUSINESS, FINANCE","ESCI","221","0.8","0.19","97.73"%," 175/233 ","1.4","Q3","0.8","0.5"," 190/233 ","Q4","18.67","0","0.039","0.303","25.1","Q4","Q3","14","100"%,"6.8","8.5","14",
"Geneva Risk and Insurance Review","GENEVA RISK INS REV","PALGRAVE MACMILLAN LTD","1554-964X","1554-9658","BUSINESS, FINANCE","SSCI","134","0.7","0.49","21.43"%," 182/233 ","1.4","Q3","0.7","0.3"," 129/233 ","Q3","44.85","0","0.048","0.546","22.1","Q4","Q2","10","100"%,"5.7","12.4","10",
"Journal of Applied Corporate Finance","J APPL CORP FINANC","WILEY","1078-1196","1745-6622","BUSINESS, FINANCE","ESCI","1,125","0.7","0.48","17.17"%," 182/233 ","1.4","Q3","0.6","0.1"," 134/233 ","Q3","42.70","0.001","0.147","0.456","22.1","Q4","Q3","41","100"%,"13","13.2","41",
"Financial and Credit Activity-Problems of Theory and Practice","FINANC CREDIT ACT","FINTECHALIANCE","2306-4994","2310-8770","BUSINESS, FINANCE","ESCI","802","0.7","0.27","50.12"%," 182/233 ","0.6","Q4","0.4","0.3"," 179/233 ","Q4","23.39","0.001","0.154","0.068","22.1","Q4","Q4","237","100"%,"2.7","3.8","237",
"Asian Academy of Management Journal of Accounting and Finance","ASIAN ACAD MANAG J A","PENERBIT UNIV SAINS MALAYSIA","1823-4992","2180-4192","BUSINESS, FINANCE","ESCI","200","0.7","0.24","98.33"%," 182/233 ","0.9","Q4","0.7","0.1"," 181/233 ","Q4","22.53","0","0.014","0.087","22.1","Q4","Q4","20","95"%,"7.8","9.2","19",
"Review of Derivatives Research","REV DERIV RES","SPRINGER","1380-6645","1573-7144","BUSINESS, FINANCE","SSCI","182","0.7","0.22","44"%," 182/233 ","0.6","Q4","0.7","0.3"," 186/233 ","Q4","20.39","0","0.021","0.19","22.1","Q4","Q4","4","100"%,"14.2","14.6","4",
"Financial Internet Quarterly","FINANC INTERNET Q","WALTER DE GRUYTER GMBH","N/A","2719-3454","BUSINESS, FINANCE","ESCI","63","0.7","0.18","96.67"%," 182/233 ","N/A","N/A","0.7","0.1"," 191/233 ","Q4","18.24","0","0.013","N/A","22.1","Q4","N/A","30","100"%,"N/A","7.8","30",
"Journal of Insurance Issues","J INSUR ISS","WESTERN RISK & INSURANCE ASSOC","1531-6076","2332-4244","BUSINESS, FINANCE","ESCI","94","0.7","0.17","0"%," 182/233 ","0.9","Q4","0.3","<0.1"," 194/233 ","Q4","16.95","0","0.011","0.157","22.1","Q4","Q4","8","100"%,"N/A","9.5","8",
"Journal of Investment Management","J INVEST MANAG","JOURNAL INVESTMENT MANAGEMENT","1545-9144","1545-9152","BUSINESS, FINANCE","ESCI","276","0.7","0.15","0"%," 182/233 ","1.1","Q4","0.6","0.2"," 201/233 ","Q4","13.95","0.001","0.15","0.764","22.1","Q4","Q2","16","100"%,"6.8","11.9","16",
"Review of Development Finance","REV DEV FINANC","AFRICAGROWTH INST","1879-9337","1879-9337","BUSINESS, FINANCE","ESCI","508","0.7","0.15","0"%," 182/233 ","1.5","Q3","0.7","0.1"," 201/233 ","Q4","13.95","0","0.021","0.234","22.1","Q4","Q3","10","100"%,"7.4","10.2","10",
"International Journal of Financial Engineering","INT J FINANC ENG","WORLD SCIENTIFIC PUBL CO PTE LTD","2424-7863","2424-7944","BUSINESS, FINANCE","ESCI","217","0.6","0.2","0.6"%," 191/233 ","0.6","Q4","0.5","0.1"," 189/233 ","Q4","19.10","0","0.044","0.105","18.2","Q4","Q4","55","100"%,"4.3","10.5","55",
"Real Estate Management and Valuation","REAL ESTATE MANAGE V","WALTER DE GRUYTER GMBH","1733-2478","2300-5289","BUSINESS, FINANCE","ESCI","175","0.6","0.18","100"%," 191/233 ","N/A","N/A","0.4","0.3"," 191/233 ","Q4","18.24","0","0.022","N/A","18.2","Q4","N/A","36","100"%,"4.7","6.4","36",
"Journal of Investing","J INVEST","PAGEANT MEDIA LTD","1068-0896","2168-8613","BUSINESS, FINANCE","ESCI","493","0.6","0.16","0"%," 191/233 ","0.5","Q4","0.5","0.2"," 198/233 ","Q4","15.24","0","0.069","0.157","18.2","Q4","Q4","44","97.73"%,"12.4","14.5","43",
"FinanzArchiv-European Journal of Public Finance","FINANZARCHIV","MOHR SIEBECK","0015-2218","1614-0974","BUSINESS, FINANCE","SSCI","244","0.6","0.15","2.7"%," 191/233 ","0.5","Q4","0.6","<0.1"," 201/233 ","Q4","13.95","0","0.032","0.225","18.2","Q4","Q4","8","100"%,"11.2","13.4","8",
"International Insolvency Review","INT INSOLV REV","WILEY","1180-0518","1099-1107","BUSINESS, FINANCE","SSCI","81","0.5","0.38","31.75"%," 195/233 ","0.5","Q4","0.4","0.1"," 159/233 ","Q3","31.97","0","0.032","0.191","16.5","Q4","Q4","25","96"%,"N/A","8.7","24",
"Indonesian Journal of Sustainability Accounting and Management","INDONES J SUSTAIN AC","UNIV PASUNDAN","2597-6214","2597-6222","BUSINESS, FINANCE","ESCI","110","0.5","0.32","95.71"%," 195/233 ","0.8","Q4","0.4","<0.1"," 170/233 ","Q3","27.25","0","0.016","0.08","16.5","Q4","Q4","10","100"%,"4.2","5","10",
"Comptabilite Controle Audit","COMPTAB CONTROL AUDI","ASSOC FRANCOPHONE COMPTABILITE-AFC","1262-2788","N/A","BUSINESS, FINANCE","SSCI","134","0.5","0.18","0"%," 195/233 ","0.7","Q4","0.4","<0.1"," 191/233 ","Q4","18.24","0","0.014","0.125","16.5","Q4","Q4","13","100"%,"8.4","13.5","13",
"International Journal of Theoretical and Applied Finance","INT J THEOR APPL FIN","WORLD SCIENTIFIC PUBL CO PTE LTD","0219-0249","1793-6322","BUSINESS, FINANCE","ESCI","658","0.5","0.17","3.88"%," 195/233 ","0.6","Q4","0.4","0.1"," 194/233 ","Q4","16.95","0","0.1","0.232","16.5","Q4","Q3","32","100"%,"12.6","14.9","32",
"Istanbul Business Research","ISTANB BUS RES","ISTANBUL UNIV, SCH BUSINESS","N/A","2630-5488","BUSINESS, FINANCE","ESCI","57","0.5","0.12","57.14"%," 195/233 ","0.6","Q4","0.4","<0.1"," 208/233 ","Q4","10.94","0","0.013","0.076","16.5","Q4","Q4","26","96.15"%,"N/A","10.5","25",
"Journal of Derivatives","J DERIV","PAGEANT MEDIA LTD","1074-1240","2168-8524","BUSINESS, FINANCE","SSCI","470","0.4","0.17","0"%," 200/233 ","0.5","Q4","0.4","0.1"," 194/233 ","Q4","16.95","0","0.049","0.201","14.4","Q4","Q4","24","100"%,"20.6","13.7","24",
"Journal of Risk Model Validation","J RISK MODEL VALIDAT","INCISIVE MEDIA","1753-9579","1753-9587","BUSINESS, FINANCE","SSCI","72","0.4","0.17","0"%," 200/233 ","0.4","Q4","0.3","0.3"," 194/233 ","Q4","16.95","0","0.006","0.043","14.4","Q4","Q4","15","100"%,"N/A","10.9","15",
"Journal of Alternative Investments","J ALTERN INVEST","PAGEANT MEDIA LTD","1520-3255","2168-8435","BUSINESS, FINANCE","ESCI","371","0.4","0.16","0"%," 200/233 ","0.9","Q4","0.4","0.3"," 198/233 ","Q4","15.24","0","0.095","0.259","14.4","Q4","Q3","19","100"%,"6.7","10.1","19",
"De Computis-Revista Espanola de Historia de la Contabilidad","COMPUTIS","ASOC ESPANOLA CONTABILIDAD ADMIN EMPRESAS","1886-1881","1886-1881","BUSINESS, FINANCE","ESCI","56","0.4","0.13","73.53"%," 200/233 ","0.4","Q4","0.3","<0.1"," 204/233 ","Q4","12.66","0","0.011","0.104","14.4","Q4","Q4","9","100"%,"N/A","22.6","9",
"Journal of Operational Risk","J OPER RISK","INCISIVE MEDIA","1744-6740","1755-2710","BUSINESS, FINANCE","SSCI","123","0.4","0.13","0"%," 200/233 ","0.6","Q4","0.2","0.1"," 204/233 ","Q4","12.66","0","0.015","0.106","14.4","Q4","Q4","16","100"%,"8.6","10.6","16",
"Public Finance Quarterly-Hungary","PUBLIC FINANC Q-HUNG","CORVINUS UNIV BUDAPEST","0031-496X","2064-8278","BUSINESS, FINANCE","ESCI","84","0.4","0.13","0"%," 200/233 ","0.3","Q4","0.3","<0.1"," 204/233 ","Q4","12.66","0","0.014","0.046","14.4","Q4","Q4","25","100"%,"N/A","8.1","25",
"FINANCE A UVER-CZECH JOURNAL OF ECONOMICS AND FINANCE","FINANC UVER","CHARLES UNIV-PRAGUE","0015-1920","0015-1920","BUSINESS, FINANCE","SSCI","183","0.4","0.12","0"%," 200/233 ","0.4","Q4","0.3","0.2"," 208/233 ","Q4","10.94","0","0.014","0.078","14.4","Q4","Q4","16","100"%,"10.6","10","16",
"ATA Journal of Legal Tax Research","ATA J LEG TAX RES","AMER ACCOUNTING ASSOC","1543-866X","1543-866X","BUSINESS, FINANCE","ESCI","12","0.4","0.1","0"%," 200/233 ","0.3","Q4","0.3","<0.1"," 212/233 ","Q4","9.23","0","0.001","0.023","14.4","Q4","Q4","3","100"%,"N/A","5.3","3",
"Journal of Credit Risk","J CREDIT RISK","INCISIVE MEDIA","1744-6619","1755-9723","BUSINESS, FINANCE","SSCI","125","0.4","0.1","0"%," 200/233 ","0.6","Q4","0.3","<0.1"," 212/233 ","Q4","9.23","0","0.016","0.123","14.4","Q4","Q4","17","100"%,"11.2","8.6","17",
"Journal of Structured Finance","J STRUCT FINANC","PAGEANT MEDIA LTD","1551-9783","2374-1325","BUSINESS, FINANCE","ESCI","66","0.4","0.09","0"%," 200/233 ","0.2","Q4","0.4","<0.1"," 214/233 ","Q4","8.37","0","0.021","0.09","14.4","Q4","Q4","9","100"%,"N/A","3.6","9",
"Review of Pacific Basin Financial Markets and Policies","REV PAC BASIN FINANC","WORLD SCIENTIFIC PUBL CO PTE LTD","0219-0915","1793-6705","BUSINESS, FINANCE","ESCI","216","0.3","0.16","0"%," 210/233 ","0.6","Q4","0.3","0.1"," 198/233 ","Q4","15.24","0","0.019","0.064","10.1","Q4","Q4","27","100"%,"7.2","11.9","27",
"Journal of Risk","J RISK","INCISIVE MEDIA","1465-1211","1755-2842","BUSINESS, FINANCE","SSCI","621","0.3","0.13","0"%," 210/233 ","0.5","Q4","0.3","0.1"," 204/233 ","Q4","12.66","0","0.027","0.121","10.1","Q4","Q4","24","95.83"%,"23","10.9","23",
"Algorithmic Finance","ALGORITHMIC FINANC","IOS PRESS","2158-5571","2157-6203","BUSINESS, FINANCE","ESCI","48","0.3","0.12","0"%," 210/233 ","0.4","Q4","0.3","<0.1"," 208/233 ","Q4","10.94","0","0.01","0.207","10.1","Q4","Q4","4","100"%,"N/A","12.9","4",
"Asian Journal of Accounting and Governance","ASIAN J ACCOUNT GOV","PENERBIT UNIV KEBANGSAAN MALAYSIA","2180-3838","2180-3838","BUSINESS, FINANCE","ESCI","97","0.3","0.11","44.9"%," 210/233 ","0.6","Q4","0.2","0.1"," 211/233 ","Q4","9.66","0","0.012","0.065","10.1","Q4","Q4","17","94.12"%,"N/A","7.9","16",
"Asia-Pacific Management Accounting Journal","ASIA-PAC MANAG ACCOU","ASIA-PACIFIC MANAGEMENT ACCOUNTING ASSOC","1675-3194","1675-3194","BUSINESS, FINANCE","ESCI","76","0.3","0.07","0"%," 210/233 ","0.3","Q4","0.3","<0.1"," 216/233 ","Q4","7.51","0","0.011","0.038","10.1","Q4","Q4","22","100"%,"N/A","6","22",
"African Journal of Accounting Auditing and Finance","AFR J ACCOUNT AUDIT","INDERSCIENCE ENTERPRISES LTD","2046-8083","2046-8091","BUSINESS, FINANCE","ESCI","33","0.3","0.05","0"%," 210/233 ","0.3","Q4","0.3","N/A"," 218/233 ","Q4","6.65","0","0.003","0.03","10.1","Q4","Q4","0","N/A","N/A","N/A","0",
"Southern African Journal of Accountability and Auditing Research-SAJAAR","SO AFR J ACCOUNT AUD","SOUTH AFRICAN INST GOVERNMENT AUDITORS","1028-9011","1028-9011","BUSINESS, FINANCE","ESCI","33","0.3","0.05","0"%," 210/233 ","0.3","Q4","0.2","<0.1"," 218/233 ","Q4","6.65","0","0.002","0.022","10.1","Q4","Q4","9","100"%,"N/A","7.2","9",
"Journal of Financial Market Infrastructures","J FINANC MARK INFRAS","INCISIVE MEDIA","2049-5404","2049-5412","BUSINESS, FINANCE","ESCI","36","0.2","0.08","0"%," 217/233 ","0.3","Q4","0.2","<0.1"," 215/233 ","Q4","7.94","0","0.011","0.102","7.1","Q4","Q4","3","100"%,"N/A","N/A","3",
"Istanbul Iktisat Dergisi-Istanbul Journal of Economics","ISTANBUL J ECON","ISTANBUL UNIV","2602-4152","2602-3954","BUSINESS, FINANCE","ESCI","21","0.2","0.06","36.26"%," 217/233 ","N/A","N/A","0.2","<0.1"," 217/233 ","Q4","7.08","0","0.009","N/A","7.1","Q4","N/A","31","96.77"%,"N/A","10.8","30",
"Revista Ambiente Contabil","REV AMBIENT CONTAB","UNIV FED RIO GRANDE DO NORTE","2176-9036","2176-9036","BUSINESS, FINANCE","ESCI","57","0.2","0.04","97.46"%," 217/233 ","0.2","Q4","0.2","<0.1"," 221/233 ","Q4","5.36","0","0.006","0.018","7.1","Q4","Q4","36","100"%,"N/A","10.8","36",
"Academy Review","ACAD REV","ALFRED NOBEL UNIV","2074-5354","2522-9745","BUSINESS, FINANCE","ESCI","34","0.2","0.03","100"%," 217/233 ","N/A","N/A","0.2","0.1"," 223/233 ","Q4","4.51","0","0.004","N/A","7.1","Q4","N/A","41","100"%,"N/A","5.7","41",
"Contaduria Universidad de Antioquia","CONTAD U ANTIOQUIA","UNIV ANTIOQUIA, FAC CIENCIAS ECONOMICAS","0120-4203","2590-4604","BUSINESS, FINANCE","ESCI","36","0.2","0.03","78.33"%," 217/233 ","N/A","N/A","0.2","0.1"," 223/233 ","Q4","4.51","0","0.008","N/A","7.1","Q4","N/A","17","94.12"%,"N/A","9.9","16",
"Journal of Accounting Review","J ACCOUNT REV","NATL CHENGCHI UNIV","1018-1687","1018-1687","BUSINESS, FINANCE","ESCI","10","0.2","0.03","0"%," 217/233 ","0.1","Q4","0.2","N/A"," 223/233 ","Q4","4.51","0","0.001","0.019","7.1","Q4","Q4","0","N/A","N/A","N/A","0",
"Revista Evidenciacao Contabil & Financas","REV EVIDENCIACAO CON","UNIV FEDERAL PARAIBA","2318-1001","2318-1001","BUSINESS, FINANCE","ESCI","43","0.2","0.03","25"%," 217/233 ","0.2","Q4","0.1","<0.1"," 223/233 ","Q4","4.51","0","0.005","0.022","7.1","Q4","Q4","16","100"%,"N/A","10.3","16",
"Revista Contabilidade e Controladoria-RC C","REV CONTAB CONTROL-R","UNIV FEDERAL PARANA","1984-6266","1984-6266","BUSINESS, FINANCE","ESCI","40","0.2","0.02","0"%," 217/233 ","0.2","Q4","0.2","<0.1"," 228/233 ","Q4","2.36","0","0.003","0.016","7.1","Q4","Q4","24","95.83"%,"N/A","10.7","23",
"Journal of Law Finance and Accounting","J LAW FINANC ACCOUNT","NOW PUBLISHERS INC","2380-5005","2380-5013","BUSINESS, FINANCE","ESCI","119","0.1","0.42","0"%," 225/233 ","0.9","Q4","0.1","<0.1"," 145/233 ","Q3","37.98","0","0.048","0.609","3.6","Q4","Q2","1","100"%,"6.3","N/A","1",
"Journal of Tax Administration","J TAX ADM","UNIV EXETER BUSINESS SCH","2059-190X","2059-190X","BUSINESS, FINANCE","ESCI","56","0.1","0.05","0"%," 225/233 ","0.4","Q4","0.1","<0.1"," 218/233 ","Q4","6.65","0","0.035","0.288","3.6","Q4","Q3","8","100"%,"N/A","11.6","8",
"Journal of Investment Strategies","J INVEST STRATEG","INCISIVE MEDIA","2047-1238","2047-1246","BUSINESS, FINANCE","ESCI","45","0.1","0.04","0"%," 225/233 ","0.1","Q4","0.1","<0.1"," 221/233 ","Q4","5.36","0","0.017","0.162","3.6","Q4","Q4","9","100"%,"N/A","17.1","9",
"Contabilidad y Negocios","CONTAB NEG","PONTIFICIA UNIV CATOLICA PERU","1992-1896","2221-724X","BUSINESS, FINANCE","ESCI","35","0.1","0.03","100"%," 225/233 ","0.2","Q4","0.1","0.1"," 223/233 ","Q4","4.51","0","0.004","0.027","3.6","Q4","Q4","20","100"%,"N/A","7.9","20",
"Maliye Dergisi","MALIYE DERG","MALIYE BAKANLIGI","1300-3623","1300-3623","BUSINESS, FINANCE","ESCI","58","0.1","0.02","0"%," 225/233 ","0.1","Q4","0.1","<0.1"," 228/233 ","Q4","2.36","0","0.002","0.008","3.6","Q4","Q4","18","100"%,"N/A","8.2","18",
"Actualidad Contable Faces","ACTUAL CONTAB FACES","UNIV ANDES, FAC CIENCIAS ECONOMICAS & SOCIALES","1316-8533","1316-8533","BUSINESS, FINANCE","ESCI","33","0.1","0.01","56.76"%," 225/233 ","0.1","Q4","0.1","<0.1"," 231/233 ","Q4","1.07","0","0.008","0.062","3.6","Q4","Q4","8","100"%,"N/A","10.1","8",
"South African Actuarial Journal","S AFR ACTUAR J","ACTUARIAL SOC SOUTH AFRICA-ASSA","1680-2179","1680-2179","BUSINESS, FINANCE","ESCI","4","<0.1","0.02","100"%," 231/233 ","<0.1","Q4","<0.1","N/A"," 228/233 ","Q4","2.36","0","0","0.011","1.1","Q4","Q4","0","N/A","N/A","N/A","0",
"Revista de Gestao Financas e Contabilidade","REV GEST FINANC CONT","EDITORA UNIV ESTADO BAHIA","2238-5320","2238-5320","BUSINESS, FINANCE","ESCI","46","<0.1","0.01","20"%," 231/233 ","0.1","Q4","<0.1","<0.1"," 231/233 ","Q4","1.07","0","0.008","0.049","1.1","Q4","Q4","2","100"%,"N/A","N/A","2",
"Japanese Accounting Review","JPN ACCOUNT REV","KOBE UNIV, RESEARCH INST ECONOMICS & BUSINESS ADM","2185-4785","2185-4793","BUSINESS, FINANCE","ESCI","16","<0.1","0","100"%," 231/233 ","0.2","Q4","<0.1","<0.1"," 233/233 ","Q4","0.21","0","0","0.021","1.1","Q4","Q4","1","100"%,"N/A","N/A","1",

Copyright (c) 2024 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
