Field,Journal Title,AJG 2024,AJG 2021,Citescore rank,SNIP rank,SJR rank,JIF rank,SDG content (2017-21),International co-authorship (2017-21),Academic-non-academic collaborations (2017-21),Citations policy docs (2017-21),ISSN,Publisher,JCR_2021_JIF,JCR_2021_JCI,JCR_2021_JIF_Quartile,JCR_2021_Total_Citations,Eigenfactor,Article_Influence_Score,JCR_Category,JCR_2023_JIF,JCR_2023_JCI,JCR_2023_JIF_Quartile,JCR_2023_Total_Citations,JCR_2023_Eigenfactor,JCR_2023_AIS,JCR_2023_Category
ACCOUNT,Social and Environmental Accountability Journal,1,1,48,67,48,69%,37%,6%,0.071,,,,,,,,,,,,,,,,,
ACCOUNT,South African Journal of Accounting Research,1,1,63,63,69,73%,14%,6%,0.083,,23763981,Taylor & Francis,,0.44,,109,0.0,0.142,"BUSINESS, FINANCE - ESCI",1.1,0.35,Q3,132,0,0.208,"BUSINESS, FINANCE"
ACCOUNT,World Tax Journal,1,1,71,22,28,79%,50%,13%,0.089,,,,,,,,,,,,,,,,,
BUS HIST & ECON HIST,Business History,4,4,5,9,7,7,42%,42%,11%,0.168,,,,,,,,,,1,0.7,Q4,1252,0.002,0.589,BUSINESS
BUS HIST & ECON HIST,Business History Review,4,4,13,4,6,5,45%,48%,5%,0.268,,,,,,,,,,1.3,0.69,Q3,1013,0.001,1.098,BUSINESS
BUS HIST & ECON HIST,Economic History Review,4,4,3,2,3,3,57%,39%,8%,0.536,,,,,,,,,,1.4,2.48,Q3,2521,0.003,1.532,ECONOMICS
BUS HIST & ECON HIST,Enterprise and Society,3,3,17,11,13,10,34%,34%,3%,0.070,,,,,,,,,,0.7,0.49,Q4,471,0.001,0.475,BUSINESS
BUS HIST & ECON HIST,European Review of Economic History,3,3,8,6,4,6,49%,50%,17%,0.822,,,,,,,,,,1.2,0.97,Q3,724,0.001,1.221,ECONOMICS
BUS HIST & ECON HIST,Explorations in Economic History,3,3,2,3,2,2,65%,47%,25%,2.317,,,,,,,,,,2.6,1.68,Q1,1413,0.002,2.422,ECONOMICS
BUS HIST & ECON HIST,Journal of Economic History,3,3,1,1,1,1,49%,60%,24%,2.599,,,,,,,,,,2.5,6.12,Q2,3486,0.004,2.791,ECONOMICS
BUS HIST & ECON HIST,Accounting Historians Journal,2,2,18,21,20,18%,17%,3%,0.015,,,,,,,,,,,1.2,0.29,Q3,285,0,0.234,"BUSINESS, FINANCE"
BUS HIST & ECON HIST,Accounting History,2,2,7,20,9,21%,31%,12%,0.064,,,,,,,,,,,1.7,0.41,Q3,619,0,0.373,"BUSINESS, FINANCE"
BUS HIST & ECON HIST,Accounting History Review,2,2,6,13,16,20%,25%,2%,0.055,,,,,,,,,,,0.8,0.21,Q4,148,0,0.379,BUSINESS
