Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,2023 JCI,% of Citable OA,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,JCI Rank,JCI Quartile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,JIF Percentile,JIF Quartile,AIS Quartile,Citable Items,% of Articles in Citable items,Cited Half-Life,Citing Half-Life,Total Articles
"OPTIMIZATION","OPTIMIZATION","TAYLOR & FRANCIS LTD","0233-1934","1029-4945","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","3,146","1.6","0.7","2.73"%," 65/106 ","1.9","Q3","1.5","0.3"," 36/106 ","Q2","66.51","0.004","0.949","0.652","39.2","Q3","Q2","129","100"%,"5.9","11.5","129",
"INFORMS JOURNAL ON COMPUTING","INFORMS J COMPUT","INFORMS","1091-9856","1526-5528","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","3,001","2.3","0.48","0"%," 42/106 ","2.6","Q2","2","0.4"," 59/106 ","Q3","44.81","0.005","1.042","1.251","60.8","Q2","Q1","126","100"%,"7.7","10","126",
"INTERNATIONAL JOURNAL OF COMPUTER INTEGRATED MANUFACTURING","INT J COMPUT INTEG M","TAYLOR & FRANCIS LTD","0951-192X","1362-3052","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","2,978","3.7","0.68","16.23"%," 29/106 ","4.2","Q2","3.2","0.7"," 38/106 ","Q2","64.62","0.002","0.521","0.689","73.1","Q2","Q2","111","96.4"%,"4.8","5.5","107",
"JOURNAL OF QUALITY TECHNOLOGY","J QUAL TECHNOL","TAYLOR & FRANCIS INC","0022-4065","2575-6230","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","2,762","2.6","0.72","10.84"%," 38/106 ","3.2","Q2","2.4","0.2"," 34/106 ","Q2","68.40","0.001","0.329","1.125","64.6","Q2","Q2","24","100"%,"19.6","11.5","24",
"Journal of Systems Engineering and Electronics","J SYST ENG ELECTRON","SYSTEMS ENGINEERING & ELECTRONICS, EDITORIAL DEPT","1004-4132","1004-4132","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","2,314","1.9","0.36","94.26"%," 54/106 ","1.9","Q3","1.7","0.4"," 82/106 ","Q4","23.11","0.002","0.401","0.347","49.5","Q3","Q4","136","98.53"%,"5.4","6.9","134",
"Optimization Letters","OPTIM LETT","SPRINGER HEIDELBERG","1862-4472","1862-4480","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","2,253","1.3","0.53","16.47"%," 83/106 ","1.4","Q4","1.2","0.3"," 56/106 ","Q3","47.64","0.004","0.938","0.632","22.2","Q4","Q3","121","100"%,"5.8","10","121",
"OPTIMIZATION METHODS & SOFTWARE","OPTIM METHOD SOFTW","TAYLOR & FRANCIS LTD","1055-6788","1029-4937","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","2,071","1.4","0.65","9.93"%," 74/106 ","1.7","Q3","1.3","0.2"," 41/106 ","Q2","61.79","0.003","0.609","0.988","30.7","Q3","Q2","57","98.25"%,"11.5","11.3","56",
"OPTIMAL CONTROL APPLICATIONS & METHODS","OPTIM CONTR APPL MET","WILEY","0143-2087","1099-1514","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","2,034","2","0.59","4.9"%," 51/106 ","1.9","Q3","1.7","0.2"," 48/106 ","Q2","55.19","0.002","0.442","0.414","52.4","Q2","Q3","117","100"%,"5.4","6.4","117",
"Journal of Industrial and Management Optimization","J IND MANAG OPTIM","AMER INST MATHEMATICAL SCIENCES-AIMS","1547-5816","1553-166X","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","1,869","1.2","0.37","99.37"%," 88/106 ","1.2","Q4","1","0.6"," 78/106 ","Q3","26.89","0.002","0.497","0.26","17.5","Q4","Q4","182","99.45"%,"3.3","7.2","181",
"OR SPECTRUM","OR SPECTRUM","SPRINGER","0171-6468","1436-6304","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","1,757","1.4","0.45","51.26"%," 74/106 ","2.3","Q2","1.3","0.4"," 66/106 ","Q3","38.21","0.001","0.227","0.647","30.7","Q3","Q2","38","100"%,"11.3","9.8","38",
"RAIRO-OPERATIONS RESEARCH","RAIRO-OPER RES","EDP SCIENCES S A","0399-0559","2804-7303","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","1,738","1.8","0.47","68.79"%," 60/106 ","1.6","Q4","1.5","0.3"," 62/106 ","Q3","41.98","0.002","0.45","0.295","43.9","Q3","Q4","161","100"%,"2.7","7.6","161",
"INTERNATIONAL JOURNAL OF TECHNOLOGY MANAGEMENT","INT J TECHNOL MANAGE","INDERSCIENCE ENTERPRISES LTD","0267-5730","1741-5276","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","1,717","1.4","0.38","0.79"%," 74/106 ","1.7","Q3","1.4","0.6"," 76/106 ","Q3","28.77","0","0.1","0.277","30.7","Q3","Q4","43","100"%,"13.5","10.2","43",
